id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
11,0.15,0,0.166666667,0.29707113,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,1,0.1,0.378881988,0,0,0,1,1,0.083333333,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
12,0.1,0.071428571,0.166666667,0.184100418,0,0,0,0,0.125,0,0,0,0,0.068181818,1,1,0,0,1,0.145454545,0.180124224,0,0,0,0,0.236024845,0.942307692,0,1,1,1,1,0.055900621,0,0,0,0,0,0,0,0,1,0.5,0,0.5,0.5,1,0
13,0.05,0.071428571,0.166666667,0.142259414,0.018181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.127272727,0.130434783,0,0,0,0,0,0.32,0,1,0,0,0,0.018691589,0,0,0,0,0,0,0,0,1,1,1,1,0.5,1,0
14,0,0,0.166666667,0.087866109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.081818182,0.080745342,0,0,0,0,0.6,0.055555556,1,1,0,0,0,0.4,0,0,0,0,0,1,0,0,1,1,1,1,0.5,0,1
15,0.1,0,0.277777778,0.154811715,0,0,0,1,0,0,0,0,0,0.102272727,1,0,1,0,1,0.063636364,0.192546584,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
16,0.05,0,0.166666667,0.150627615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.081818182,0.173913043,0,0,0.333333333,0,0.911111111,0.857142857,0,1,0,0,0,0.088888889,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
17,0.1,0.071428571,0.166666667,0.234309623,0.036363636,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.1,0.285714286,0,0,0,0,0.095652174,0.096153846,0,1,1,0,0,0.008695652,0,0,0,0,1,0,0,0,1,0.5,1,1,1,1,0
18,0,0,0.111111111,0.242677824,0.127272727,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.145454545,0.267080745,0,0,0,0,0.169014085,0.537037037,0,1,0,0,0,0.014084507,0,0,0,0,0,1,0,0,1,0.5,0,1,0.5,1,0
19,0,0,0.111111111,0.351464435,0.236363636,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.081818182,0.472049689,0,0,0,0,0.067567568,0.423076923,0,1,0,0,0,0.067567568,0,0,0,0,0,1,0,0,1,0,1,1,0.5,1,0
20,0,0,0.166666667,0.142259414,0.036363636,0.111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,0.136363636,0.124223602,0,0,0,0,0,0.0625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
21,0.15,0,0.222222222,0.364016736,0.036363636,0,0,0,0,0,0,0,0,0.215909091,1,1,1,0,0,0.072727273,0.291925466,0.170212766,0,0.666666667,0,0,0.035714286,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
22,0.1,0,0.222222222,0.221757322,0,0,0,0,0,0,0,0,0,0.022727273,1,0,0,0,0,0.163636364,0.223602484,0,0,0,0,0,0.166666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,1,1
23,0.1,0,0.166666667,0.832635983,0,0,0,0,0.5,0,0.526315789,0.642857143,0,0.545454545,1,1,0,0,0,0.090909091,0.204968944,0.829787234,0,0,0,0.090909091,0.739130435,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.5,1,1
24,0.1,0.071428571,0.055555556,0.288702929,0.072727273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.254545455,0.260869565,0,0,0,0,0.982142857,0.340909091,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.5,0.5,0,0
25,0.1,0.071428571,0.055555556,0.209205021,0,0,0,0,0,0,0.157894737,0.142857143,0,0.079545455,1,1,0,0,0,0.154545455,0.086956522,0.10106383,0,0,0,0.111111111,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,1,0
26,0,0,0.111111111,0.079497908,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.081818182,0.068322981,0,0,0,0,0.081081081,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
27,0,0,0.111111111,0.30125523,0.127272727,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.127272727,0.366459627,0,0,0,0,0.315789474,0.75,0,0,0,0,0,0.065789474,0,0,0,0,1,0,0,0,1,0,0,1,0.5,0.5,0
28,0.05,0.071428571,0.166666667,0.108786611,0.018181818,0.111111111,0,0,0,0,0,0,0,0,1,0,0,0,1,0.136363636,0.074534161,0,0,0,0,0,0.0625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.5,1,1
29,0.05,0.071428571,0.277777778,0.205020921,0,0,0,0,0.125,0,0.052631579,0,0,0.034090909,1,0,0,0,1,0.1,0.204968944,0.026595745,0,0,0,0.043478261,0.275862069,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.5,0.5,1,1,1,0
30,0.05,0,0.222222222,0.384937238,0.018181818,0,0,0,0.25,0,0.105263158,0.071428571,0,0.011363636,1,0,0,0,1,0.054545455,0.236024845,0.255319149,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
31,0.05,0.071428571,0.222222222,0.305439331,0,0,0,0,0,0,0,0.285714286,0,0.056818182,1,1,0,0,1,0.118181818,0.378881988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
32,0.05,0.071428571,0.277777778,0.129707113,0.018181818,0,0,0,0,0,0,0,0,0.090909091,1,1,0,0,0,0.036363636,0.173913043,0,0,0,0,0.192307692,0.421052632,0,1,0,0,0,0.038461539,0,0,0,0,0,0,0,0,1,1,0,1,0.5,1,0
33,0,0,0.111111111,0.238493724,0.145454545,0,0,0,0,0,0,0,0,0.034090909,1,1,0,0,1,0.090909091,0.298136646,0,0,0,0,0.148648649,0.988888889,1,1,1,0,0,0.081081081,0,0,0,0,1,0,0,0,1,0.5,0,1,0,1,0
34,0.1,0.071428571,0.222222222,0.238493724,0.072727273,0,0,0,0,0,0,0,0,0.056818182,1,1,0,0,0,0.136363636,0.267080745,0,0,0,0,0.10483871,0.358208955,0,1,1,0,0,0.169354839,0,0,0,0,1,1,0,0,1,0.5,1,1,0.5,1,0
35,0.05,0,0.111111111,0.338912134,0.145454545,0,0,0,0,0,0,0,0,0.045454545,1,1,0,0,0,0.145454545,0.409937888,0,0,0,0,0.227272727,0.242424242,0,1,0,0,0,0.015151515,0,0,0,0,0,1,0,0,1,0,1,1,0.5,1,0
36,0.05,0,0.111111111,0.410041841,0.018181818,0,0,0,0.1875,0,0.157894737,0.142857143,0,0.147727273,1,0,0,0,0,0.145454545,0.236024845,0.234042553,0,0,0,0.218181818,0.214285714,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0.5,1,0
37,0.1,0.071428571,0.388888889,0.326359833,0.036363636,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.281818182,0.298136646,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
38,0.05,0,0.166666667,0.121338912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.054545455,0.149068323,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
39,0.05,0,0.333333333,0.171548117,0,0,0,0,0,0,0,0,0,0.045454545,1,1,0,0,1,0.045454545,0.229813665,0,0,0,0,0.195121951,0.090909091,0,1,0,0,0,0.036585366,0,0,0,0,0,0,0,0,1,0.5,1,1,1,1,0
40,0.15,0.071428571,0.055555556,0.10460251,0,0,0,0,0,0,0,0,0,0.011363636,1,1,0,0,0,0.154545455,0.055900621,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1
41,0.1,0.071428571,0.111111111,0.087866109,0.018181818,0.111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,0.154545455,0.031055901,0,0,0,0,0.25,0.111111111,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,1,0.5,0,1
42,0.05,0.071428571,0.111111111,0.142259414,0.018181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.154545455,0.111801242,0,0,0,0,0.083333333,0.205128205,0,1,0,1,0,0.111111111,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,1,0
43,0.05,0.071428571,0.111111111,0.133891213,0.054545455,0,0,0,0,0,0,0,0,0.011363636,1,0,0,0,1,0.090909091,0.142857143,0,0,0,0,0.013636364,0.085714286,0,1,1,0,0,0.009090909,0,0,0,0,0,0,0,0,1,1,1,1,0.5,1,0
44,0.1,0,0.222222222,0.610878661,0,0,0,0,0,0,0.210526316,0.214285714,0,0.477272727,1,1,0,0,0,0.081818182,0.341614907,0.436170213,0,0,0,0,0.625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,1,1
45,0,0,0.222222222,0.09623431,0,0,0,0,0,0,0,0,0,0.102272727,1,1,0,0,0,0.063636364,0.105590062,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
46,0.1,0,0.166666667,0.171548117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.109090909,0.186335404,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0.5,1,1,1,1,1
47,0.05,0,0.166666667,0.125523013,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.109090909,0.118012422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
48,0,0,0.166666667,0.271966527,0.036363636,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.109090909,0.335403727,0,0,0,0,0.115384615,0.5,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,1,0,0.5,1,0.5,1,0
49,0.1,0.142857143,0.277777778,0.405857741,0.090909091,0.444444444,0,0,0,0,0,0,0,0.25,1,1,0,1,1,0.472727273,0.285714286,0,1,0,0,0.055555556,0,0,1,1,0,0,0.944444444,0,0,0,0,0,1,0,0,0.5,0,1,1,1,0,1
50,0.05,0.071428571,0.222222222,0.552301255,0.254545455,0,0,0,0,0,0,0,0,0.068181818,1,1,0,0,1,0.090909091,0.763975155,0,0,0,1,0.127659575,0.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0.5,1,0
51,0.05,0.071428571,0.111111111,0.146443515,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.236363636,0.062111801,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
52,0,0,0.111111111,0.058577406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.090909091,0.031055901,0,0,0,0,0.923076923,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
53,0.1,0.071428571,0.055555556,0.230125523,0.018181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.245454545,0.111801242,0.053191489,0,0.333333333,0,0.022727273,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1,0,1,0
54,0,0,0.333333333,0.179916318,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.090909091,0.211180124,0,0,0.333333333,0,0,0.285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,0,1,1
55,0.25,0.071428571,0.277777778,0.652719665,0,0,0,1,0,0,0.052631579,0,0,0.545454545,1,1,0,0,1,0.145454545,0.409937888,0.393617021,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
56,0.25,0.071428571,0.277777778,0.313807531,0.018181818,0,0,0,0,0,0,0,0,0.125,1,1,0,0,0,0.172727273,0.354037267,0,0,0,0,0.043478261,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.5,1,0.5,1,0
57,0,0,0.277777778,0.255230126,0.072727273,0,0,0,0,0,0,0,0,0.090909091,1,1,0,0,0,0.109090909,0.310559006,0,0,0,0,0.123655914,0.098484849,0,1,1,0,1,0.016129032,0,0,0,0,0,1,0,0,1,0.5,1,0,1,1,0
58,0,0,0.222222222,0.163179916,0.054545455,0,0,0,0,0,0,0,0,0.068181818,1,1,0,0,0,0.072727273,0.198757764,0,0,0,0,0.230769231,0.192982456,0,1,1,0,0,0.009615385,0,0,0,0,0,0,0,0,1,1,1,1,0.5,1,0
59,0.05,0,0.166666667,0.129707113,0.018181818,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.072727273,0.149068323,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
60,0.05,0.071428571,0.277777778,0.330543933,0.109090909,0,0,0,0,0,0,0,0,0.090909091,1,1,0,0,1,0.190909091,0.366459627,0,0,0,0,0.160714286,0.816326531,0,1,1,0,0,0.178571429,0,0,0,0,0,1,0,0,1,0,0,1,0.5,0.5,0
61,0.1,0.071428571,0.055555556,0.184100418,0.018181818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0.142857143,0,0,0,0,0.035087719,0.071428571,0,1,1,0,1,0.005847953,0,0,0,0,0,0,0,0,1,0.5,1,0,0.5,1,0
62,0.05,0,0.166666667,0.213389121,0,0,0,0,0,0,0.052631579,0,0,0,1,0,0,0,0,0.090909091,0.211180124,0.037234043,0,0.333333333,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1,0,1,1
63,0.15,0.071428571,0.5,0.836820084,0.036363636,0,0,1,0,0,0.052631579,0,0,0.784090909,1,1,0,0,1,0.118181818,0.683229814,0.409574468,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
64,0.05,0.071428571,0.111111111,0.09623431,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.136363636,0.055900621,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
65,0.1,0.071428571,0.5,0.255230126,0,0,0,0,0.0625,0,0,0,0,0.034090909,1,0,0,0,1,0.045454545,0.354037267,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0.5,0,1,0,0,1
66,0.05,0.071428571,0.222222222,0.246861925,0.054545455,0,0,0,0,0,0,0,0,0.056818182,1,1,0,0,1,0.154545455,0.267080745,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,1,1,1,0,1
67,0.05,0,0.333333333,0.288702929,0.090909091,0,0,0,0,0,0,0,0,0.068181818,1,1,0,0,1,0.063636364,0.391304348,0,0,0,0,0.044117647,0.0625,0,1,0,0,0,0.004901961,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
68,0.05,0.071428571,0.055555556,0.083682008,0,0,0,0,0,0,0,0,0,0.056818182,1,1,0,0,0,0.090909091,0.068322981,0,0,0,0,0.270491803,0.870967742,0,1,0,0,0,0.008196721,0,0,0,0,0,0,0,0,1,1,0,1,0.5,1,0
69,0,0,0.111111111,0.230125523,0.145454545,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.090909091,0.285714286,0,0,0,0,0.209677419,0.388059702,0,1,0,0,0,0.016129032,0,0,0,0,0,1,0,0,1,0.5,0.5,1,0.5,1,0
70,0,0,0.111111111,0.347280335,0.145454545,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.136363636,0.428571429,0,0,0,0,0.157480315,0.714285714,1,0,0,0,0,0.023622047,0,0,0,0,1,0,0,0,1,0,0,1,0.5,1,0
71,0.05,0,0.111111111,0.205020921,0.072727273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.072727273,0.260869565,0,0,0,0,0.111111111,0.352941177,0,1,0,0,0,0.079365079,0,0,0,0,0,1,0,0,1,0.5,1,1,0.5,1,0
72,0,0,0.111111111,0.108786611,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.209090909,0.02484472,0,0,0,0,0.923076923,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
73,0.15,0.071428571,0.055555556,0.313807531,0,0,0,0,0,0.263157895,0.052631579,0,0,0.113636364,1,0,0,0,0,0.090909091,0.068322981,0.287234043,0,0.333333333,0,0,0.025974026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
74,0.1,0.071428571,0.055555556,0.221757322,0,0,0,0,0,0,0.105263158,0.071428571,0,0.125,1,0,0,0,1,0.172727273,0.062111801,0.127659574,0,0,0,0.033333333,0.095238095,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,1,1,0.5,1,0
75,0.05,0,0.222222222,0.40167364,0.018181818,0,0,0,0.25,0,0.105263158,0.071428571,0,0.011363636,1,0,0,0,1,0.054545455,0.236024845,0.276595745,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
76,0.05,0.071428571,0.111111111,0.133891213,0.054545455,0.333333333,0,0,0,0,0,0,0,0,1,1,0,0,0,0.245454545,0.037267081,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
77,0.05,0.071428571,0.055555556,0.087866109,0.018181818,0,0,0,0,0,0,0,0,0.136363636,1,1,0,0,0,0.063636364,0.093167702,0,0,0,1,0.156069364,0.607142857,0,1,1,0,0,0.046242775,0,0,0,0,1,1,0,0,1,1,1,1,0.5,1,0
78,0,0,0.111111111,0.414225941,0.290909091,0,0,0,0,0,0,0,0,0.159090909,1,1,0,0,1,0.063636364,0.577639752,0,0,0,0,0.025547445,0.384615385,0,1,0,0,0,0.010948905,0,0,0,0,0,1,0,0,1,0,1,1,0.5,1,0
79,0,0,0.111111111,0.188284519,0.036363636,0,0,0,0,0,0,0,0,0.045454545,1,1,0,0,1,0.154545455,0.180124224,0,0,0,0,0.010714286,0.590909091,0,1,0,0,0,0.1,0,0,0,0,0,1,0,0,1,0.5,0,1,0.5,1,0
80,0,0,0.222222222,0.422594142,0.090909091,0,0,0,0,0,0,0,0,0.079545455,1,1,0,0,1,0.427272727,0.341614907,0,0,0,0,0.113207547,0.628571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
81,0.05,0.071428571,0.111111111,0.20083682,0.054545455,0,0,0,0,0,0,0,0,0.068181818,1,1,0,0,0,0.127272727,0.217391304,0,0,0,0,0.342857143,0.5,0,1,1,0,0,0.057142857,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,0.5,0
82,0.2,0.071428571,0.277777778,0.40167364,0.018181818,0,0,0,0,0,0,0,0,0.329545455,1,1,0,0,1,0.118181818,0.52173913,0,0,0.333333333,0,0,0.125,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
83,0,0,0.166666667,0.368200837,0.018181818,0,0,0,0.625,0,0,0,0,0,1,1,0,0,1,0.109090909,0.47826087,0,0,0,0,0.075,0.961538462,1,1,0,0,0,0.075,0,0,0,0,0,0,0,1,1,0,0,1,0.5,1,0
84,0.05,0.071428571,0.222222222,0.255230126,0.072727273,0,0,0,0,0,0,0,0,0.068181818,1,1,0,0,0,0.218181818,0.236024845,0,0,0,0,0.060606061,0.878787879,1,1,0,1,0,0.083333333,0,0,0,0,0,1,0,0,1,0.5,0,0.5,0.5,1,0
85,0.05,0.071428571,0.222222222,0.10460251,0,0,0,0,0,0,0,0,0,0.090909091,1,1,0,0,1,0.081818182,0.105590062,0,0,0,0,0.060240964,0.146341463,0,1,1,0,1,0.048192771,0,0,0,0,0,0,0,0,1,1,1,0,0.5,1,0
86,0,0,0.388888889,0.410041841,0.018181818,0,0,0,0,0,0,0,0,0.227272727,1,1,0,0,0,0.190909091,0.48447205,0,0,0,0,0,0.666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.5,1,1
87,0.1,0,0.166666667,0.230125523,0.072727273,0,0,0,0,0,0,0,0,0.045454545,1,1,0,0,1,0.109090909,0.273291925,0,0,0,0,0.113924051,0.905660377,0,1,1,0,0,0.012658228,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,1,0
88,0.1,0,0.111111111,0.163179916,0.018181818,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.118181818,0.167701863,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
89,0.15,0,0.166666667,0.50209205,0,0,0,0,0.1875,0,0.473684211,0.357142857,0,0.238636364,1,0,1,0,0,0.063636364,0.136645963,0.484042553,0,0.333333333,0,0.375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0.5,0.5,1
90,0.1,0.071428571,0.055555556,0.225941423,0.018181818,0,0,0,0,0,0.052631579,0,0,0,1,0,0,0,1,0.136363636,0.142857143,0.085106383,0,0,0,0.020134228,0.4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0.5,0.5,1,0.5,1,0
91,0.05,0.071428571,0.166666667,0.10460251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.090909091,0.099378882,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0
92,0.05,0.071428571,0.166666667,0.230125523,0.018181818,0.111111111,0,0,0,0,0,0,0,0.227272727,1,1,0,0,1,0.145454545,0.248447205,0,0,0,0,0.055555556,0.090909091,0,1,1,0,0,0.944444444,0,0,1,0,0,1,0,0,1,0.5,1,1,1,0,1
93,0.15,0.071428571,0.277777778,0.732217573,0.109090909,0,0,0,0.125,0,0.052631579,0,0,0.25,1,1,0,0,0,0.127272727,0.440993789,0.478723404,0,0,0,0,0.111111111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.5,1,1
94,0.15,0.071428571,0.388888889,0.292887029,0,0,0,0,0,0.105263158,0,0,0,0.113636364,1,1,0,0,0,0.118181818,0.360248447,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
95,0.05,0,0.111111111,0.108786611,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.090909091,0.105590062,0,0,0,0,0.923076923,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
96,0.05,0,0.222222222,0.20083682,0.018181818,0.111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,0.127272727,0.217391304,0,0,0.333333333,0,0.75,0.222222222,1,1,0,0,0,0.125,0,0,0,0,0,0,0,0,1,0.5,1,1,0.5,0,1
97,0,0,0.166666667,0.225941423,0,0,0,0,0,0,0.105263158,0.071428571,0,0,1,0,0,0,0,0.045454545,0.130434783,0.14893617,0,0,0,0.190476191,0.025,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,1,1,0.5,1,0
98,0.05,0,0.166666667,0.276150628,0.036363636,0,0,0,0.125,0,0,0,0,0,1,1,0,0,0,0.072727273,0.366459627,0,0,0,0,0.020325203,0.547169811,0,1,0,0,0,0.040650407,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
